f-0     (initial-fact)
f-634   (robot 3 4 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-635   (robot 5 4 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-636   (robot 4 5 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-637   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 prof 12)
f-638   (robot 5 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-639   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 prof 12)
f-640   (robot 1 3 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-641   (robot 2 2 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-642   (robot 5 3 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-643   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 prof 12)
f-644   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 prof 12)
f-645   (robot 5 5 0 farolas far 3 5 2 far 4 3 3 prof 12)
f-646   (robot 5 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-647   (robot 1 4 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-648   (robot 2 3 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-649   (robot 5 4 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-650   (robot 4 5 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-651   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 prof 12)
f-652   (robot 5 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-653   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 prof 12)
f-654   (robot 1 1 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-655   (robot 1 3 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-656   (robot 2 3 3 farolas far 3 5 2 far 5 5 2 prof 12)
f-657   (robot 2 3 2 farolas far 3 5 2 far 5 5 2 prof 12)
f-658   (robot 2 3 1 farolas far 3 5 2 far 5 5 2 prof 12)
f-659   (robot 1 1 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-660   (robot 1 2 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-661   (robot 1 4 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-662   (robot 2 1 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-663   (robot 3 2 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-664   (robot 3 4 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-665   (robot 2 5 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-666   (robot 1 3 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-667   (robot 2 2 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-668   (robot 2 4 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-669   (robot 1 2 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-670   (robot 1 4 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-671   (robot 2 1 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-672   (robot 3 2 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-673   (robot 3 4 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-674   (robot 2 5 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-675   (robot 3 1 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-676   (robot 4 2 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-677   (robot 1 5 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-678   (robot 2 4 1 farolas far 3 5 2 far 4 3 3 prof 12)
f-679   (robot 1 2 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-680   (robot 2 1 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-681   (robot 2 3 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-682   (robot 1 2 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-683   (robot 1 3 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-684   (robot 2 2 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-685   (robot 2 4 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-686   (robot 2 1 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-687   (robot 3 2 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-688   (robot 1 4 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-689   (robot 2 5 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-690   (robot 3 4 1 farolas far 3 5 2 far 4 3 3 prof 12)
f-691   (robot 1 1 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-692   (robot 3 1 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-693   (robot 4 2 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-694   (robot 2 4 0 farolas far 3 5 2 far 4 3 3 prof 12)
f-695   (robot 1 2 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-696   (robot 2 1 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-697   (robot 3 2 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-698   (robot 3 4 0 farolas far 3 5 2 far 4 3 3 prof 12)
f-699   (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-700   (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-701   (robot 4 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-702   (robot 3 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-703   (robot 2 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-704   (robot 1 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-705   (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-706   (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-707   (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-708   (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-709   (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-710   (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-711   (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-712   (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-713   (robot 1 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-714   (robot 2 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-715   (robot 2 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-716   (robot 3 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-717   (robot 2 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-718   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-719   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-720   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-721   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-722   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-723   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-724   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-725   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-726   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-727   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-728   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-729   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-730   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-731   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-732   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-733   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-734   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-735   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-736   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-737   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-738   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-739   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-740   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-741   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-742   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-743   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-744   (robot 1 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-745   (robot 1 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-746   (robot 3 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-747   (robot 4 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-748   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-749   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-750   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-751   (robot 5 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-752   (robot 3 2 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-753   (robot 4 1 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-754   (robot 4 3 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-755   (robot 1 4 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-756   (robot 2 3 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-757   (robot 5 4 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-758   (robot 4 5 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-759   (robot 3 4 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-760   (robot 5 4 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-761   (robot 4 5 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-762   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-763   (robot 5 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-764   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-765   (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-766   (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-767   (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-768   (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-769   (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-770   (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-771   (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-772   (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-773   (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-774   (robot 5 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-775   (robot 1 4 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-776   (robot 2 3 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-777   (robot 5 4 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-778   (robot 4 5 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-779   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-780   (robot 5 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-781   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-782   (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-783   (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-784   (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-785   (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-786   (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-787   (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-788   (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-789   (robot 5 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-790   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 13)
f-791   (robot 1 2 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-792   (robot 2 1 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-793   (robot 2 3 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-794   (robot 1 2 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-795   (robot 1 3 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-796   (robot 2 2 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-797   (robot 2 4 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-798   (robot 2 3 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-799   (robot 1 3 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-800   (robot 2 2 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-801   (robot 2 4 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-802   (robot 2 1 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-803   (robot 3 2 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-804   (robot 1 4 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-805   (robot 2 5 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-806   (robot 3 4 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-807   (robot 2 2 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-808   (robot 3 1 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-809   (robot 3 3 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-810   (robot 5 1 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-811   (robot 5 3 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-812   (robot 1 3 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-813   (robot 2 3 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-814   (robot 2 2 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-815   (robot 5 3 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-816   (robot 2 4 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-817   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-818   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-819   (robot 5 5 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-820   (robot 1 2 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-821   (robot 2 1 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-822   (robot 3 2 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-823   (robot 3 4 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-824   (robot 1 3 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-825   (robot 2 2 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-826   (robot 5 3 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-827   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-828   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-829   (robot 5 5 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-830   (robot 1 3 3 farolas far 3 5 2 far 5 5 2 prof 13)
f-831   (robot 2 2 3 farolas far 3 5 2 far 5 5 2 prof 13)
f-832   (robot 3 3 3 farolas far 3 5 2 far 5 5 2 prof 13)
f-833   (robot 2 4 3 farolas far 3 5 2 far 5 5 2 prof 13)
f-834   (robot 2 3 3 farolas far 3 5 2 far 5 5 2 prof 13)
f-835   (robot 1 3 2 farolas far 3 5 2 far 5 5 2 prof 13)
f-836   (robot 2 2 2 farolas far 3 5 2 far 5 5 2 prof 13)
f-837   (robot 3 3 2 farolas far 3 5 2 far 5 5 2 prof 13)
f-838   (robot 2 4 2 farolas far 3 5 2 far 5 5 2 prof 13)
f-839   (robot 2 3 2 farolas far 3 5 2 far 5 5 2 prof 13)
f-840   (robot 1 3 1 farolas far 3 5 2 far 5 5 2 prof 13)
f-841   (robot 2 2 1 farolas far 3 5 2 far 5 5 2 prof 13)
f-842   (robot 3 3 1 farolas far 3 5 2 far 5 5 2 prof 13)
f-843   (robot 2 4 1 farolas far 3 5 2 far 5 5 2 prof 13)
f-844   (robot 1 1 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-845   (robot 1 5 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-846   (robot 3 1 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-847   (robot 4 2 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-848   (robot 4 4 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-849   (robot 3 5 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-850   (robot 1 2 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-851   (robot 1 4 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-852   (robot 2 1 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-853   (robot 3 2 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-854   (robot 3 4 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-855   (robot 2 5 3 farolas far 4 3 3 far 5 5 2 prof 13)
f-856   (robot 1 1 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-857   (robot 1 5 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-858   (robot 3 1 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-859   (robot 4 2 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-860   (robot 4 4 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-861   (robot 3 5 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-862   (robot 4 1 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-863   (robot 1 4 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-864   (robot 2 3 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-865   (robot 2 5 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-866   (robot 1 1 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-867   (robot 1 3 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-868   (robot 2 3 1 farolas far 3 5 2 far 5 5 2 prof 13)
f-869   (robot 1 1 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-870   (robot 1 2 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-871   (robot 1 4 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-872   (robot 2 1 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-873   (robot 3 2 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-874   (robot 3 4 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-875   (robot 2 5 2 farolas far 4 3 3 far 5 5 2 prof 13)
f-876   (robot 3 1 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-877   (robot 4 2 1 farolas far 4 3 3 far 5 5 2 prof 13)
f-878   (robot 1 5 0 farolas far 3 5 2 far 5 5 2 prof 13)
f-879   (robot 2 4 1 farolas far 3 5 2 far 4 3 3 prof 13)
f-880   (robot 4 1 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-881   (robot 1 4 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-882   (robot 2 3 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-883   (robot 2 5 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-884   (robot 1 1 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-885   (robot 3 1 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-886   (robot 4 2 0 farolas far 4 3 3 far 5 5 2 prof 13)
f-887   (robot 2 4 0 farolas far 3 5 2 far 4 3 3 prof 13)
f-888   (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-889   (robot 3 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-890   (robot 2 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-891   (robot 1 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-892   (robot 5 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-893   (robot 4 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-894   (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-895   (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-896   (robot 2 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-897   (robot 2 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-898   (robot 1 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-899   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-900   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-901   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-902   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-903   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-904   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-905   (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-906   (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-907   (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-908   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-909   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-910   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-911   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-912   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-913   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-914   (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-915   (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-916   (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-917   (robot 1 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-918   (robot 1 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-919   (robot 2 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-920   (robot 3 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-921   (robot 3 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-922   (robot 2 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-923   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-924   (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-925   (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-926   (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-927   (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-928   (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-929   (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-930   (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-931   (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-932   (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-933   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-934   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-935   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-936   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-937   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-938   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-939   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-940   (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-941   (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-942   (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-943   (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-944   (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-945   (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-946   (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-947   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-948   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-949   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-950   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-951   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-952   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-953   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-954   (robot 4 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-955   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-956   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-957   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-958   (robot 2 2 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-959   (robot 3 1 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-960   (robot 3 3 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-961   (robot 5 1 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-962   (robot 5 3 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-963   (robot 1 3 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-964   (robot 2 3 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-965   (robot 2 3 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-966   (robot 2 2 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-967   (robot 5 3 1 farolas far 4 3 3 far 5 5 2 prof 14)
