f-0     (initial-fact)
f-294   (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-295   (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-296   (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-297   (robot 5 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-298   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-299   (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-300   (robot 3 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-301   (robot 2 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-302   (robot 1 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-303   (robot 5 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-304   (robot 4 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-305   (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-306   (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-307   (robot 2 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-308   (robot 2 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-309   (robot 1 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
